数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/15,正丁醇,东北地区,东北,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/12,正丁醇,东北地区,东北,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/11,正丁醇,东北地区,东北,6800,6800,6800,100,1.49%,元/吨,,n-Butanol_Domestic,3
2026/06/10,正丁醇,东北地区,东北,6700,6700,6700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/09,正丁醇,东北地区,东北,6700,6700,6700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/08,正丁醇,东北地区,东北,6700,6700,6700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/05,正丁醇,东北地区,东北,6700,6700,6700,-100,-1.47%,元/吨,,n-Butanol_Domestic,3
2026/06/04,正丁醇,东北地区,东北,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/03,正丁醇,东北地区,东北,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/02,正丁醇,东北地区,东北,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/01,正丁醇,东北地区,东北,6800,6800,6800,-150,-2.16%,元/吨,,n-Butanol_Domestic,3
2026/05/29,正丁醇,东北地区,东北,6950,6950,6950,-100,-1.42%,元/吨,,n-Butanol_Domestic,3
2026/05/28,正丁醇,东北地区,东北,7050,7050,7050,0,0%,元/吨,,n-Butanol_Domestic,3
2026/05/27,正丁醇,东北地区,东北,7050,7050,7050,0,0%,元/吨,,n-Butanol_Domestic,3
2026/05/26,正丁醇,东北地区,东北,7050,7050,7050,0,0%,元/吨,,n-Butanol_Domestic,3
2026/05/25,正丁醇,东北地区,东北,7050,7050,7050,0,0%,元/吨,,n-Butanol_Domestic,3
2026/05/22,正丁醇,东北地区,东北,7050,7050,7050,-100,-1.4%,元/吨,,n-Butanol_Domestic,3
2026/05/21,正丁醇,东北地区,东北,7150,7150,7150,0,0%,元/吨,,n-Butanol_Domestic,3
2026/05/20,正丁醇,东北地区,东北,7150,7150,7150,-150,-2.05%,元/吨,,n-Butanol_Domestic,3
2026/05/19,正丁醇,东北地区,东北,7300,7300,7300,-100,-1.35%,元/吨,,n-Butanol_Domestic,3
2026/05/18,正丁醇,东北地区,东北,7400,7400,7400,0,0%,元/吨,,n-Butanol_Domestic,3
2026/05/15,正丁醇,东北地区,东北,7400,7400,7400,-200,-2.63%,元/吨,,n-Butanol_Domestic,3
2026/05/14,正丁醇,东北地区,东北,7600,7600,7600,0,0%,元/吨,,n-Butanol_Domestic,3
2026/05/13,正丁醇,东北地区,东北,7600,7600,7600,-150,-1.94%,元/吨,,n-Butanol_Domestic,3
2026/05/12,正丁醇,东北地区,东北,7750,7750,7750,0,0%,元/吨,,n-Butanol_Domestic,3
2026/05/11,正丁醇,东北地区,东北,7750,7750,7750,0,0%,元/吨,,n-Butanol_Domestic,3
2026/05/09,正丁醇,东北地区,东北,7750,7750,7750,0,0%,元/吨,,n-Butanol_Domestic,3
2026/05/08,正丁醇,东北地区,东北,7750,7750,7750,0,0%,元/吨,,n-Butanol_Domestic,3
2026/05/07,正丁醇,东北地区,东北,7750,7750,7750,100,1.31%,元/吨,,n-Butanol_Domestic,3
2026/05/06,正丁醇,东北地区,东北,7650,7650,7650,100,1.32%,元/吨,,n-Butanol_Domestic,3
2026/04/30,正丁醇,东北地区,东北,7550,7550,7550,0,0%,元/吨,预估,n-Butanol_Domestic,3
2026/04/29,正丁醇,东北地区,东北,7550,7550,7550,-50,-0.66%,元/吨,,n-Butanol_Domestic,3
2026/04/28,正丁醇,东北地区,东北,7600,7600,7600,-100,-1.3%,元/吨,,n-Butanol_Domestic,3
2026/04/27,正丁醇,东北地区,东北,7700,7700,7700,-200,-2.53%,元/吨,,n-Butanol_Domestic,3
2026/04/24,正丁醇,东北地区,东北,7900,7900,7900,0,0%,元/吨,,n-Butanol_Domestic,3
2026/04/23,正丁醇,东北地区,东北,7900,7900,7900,0,0%,元/吨,,n-Butanol_Domestic,3
2026/04/22,正丁醇,东北地区,东北,7900,7900,7900,-300,-3.66%,元/吨,,n-Butanol_Domestic,3
2026/04/21,正丁醇,东北地区,东北,8200,8200,8200,0,0%,元/吨,,n-Butanol_Domestic,3
2026/04/20,正丁醇,东北地区,东北,8200,8200,8200,-200,-2.38%,元/吨,,n-Butanol_Domestic,3
2026/04/17,正丁醇,东北地区,东北,8400,8400,8400,0,0%,元/吨,,n-Butanol_Domestic,3
2026/04/16,正丁醇,东北地区,东北,8400,8400,8400,0,0%,元/吨,,n-Butanol_Domestic,3
2026/04/15,正丁醇,东北地区,东北,8400,8400,8400,0,0%,元/吨,,n-Butanol_Domestic,3
2026/04/14,正丁醇,东北地区,东北,8400,8400,8400,0,0%,元/吨,,n-Butanol_Domestic,3
2026/04/13,正丁醇,东北地区,东北,8400,8400,8400,-200,-2.33%,元/吨,,n-Butanol_Domestic,3
2026/04/10,正丁醇,东北地区,东北,8600,8600,8600,0,0%,元/吨,,n-Butanol_Domestic,3
2026/04/09,正丁醇,东北地区,东北,8600,8600,8600,-100,-1.15%,元/吨,,n-Butanol_Domestic,3
2026/04/08,正丁醇,东北地区,东北,8700,8700,8700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/04/07,正丁醇,东北地区,东北,8700,8700,8700,200,2.35%,元/吨,,n-Butanol_Domestic,3
2026/04/03,正丁醇,东北地区,东北,8500,8500,8500,0,0%,元/吨,,n-Butanol_Domestic,3
2026/04/02,正丁醇,东北地区,东北,8500,8500,8500,0,0%,元/吨,,n-Butanol_Domestic,3
2026/04/01,正丁醇,东北地区,东北,8500,8500,8500,0,0%,元/吨,,n-Butanol_Domestic,3
2026/03/31,正丁醇,东北地区,东北,8500,8500,8500,300,3.66%,元/吨,,n-Butanol_Domestic,3
2026/03/30,正丁醇,东北地区,东北,8200,8200,8200,0,0%,元/吨,,n-Butanol_Domestic,3
2026/03/27,正丁醇,东北地区,东北,8200,8200,8200,-200,-2.38%,元/吨,,n-Butanol_Domestic,3
2026/03/26,正丁醇,东北地区,东北,8400,8400,8400,-200,-2.33%,元/吨,,n-Butanol_Domestic,3
2026/03/25,正丁醇,东北地区,东北,8600,8600,8600,0,0%,元/吨,,n-Butanol_Domestic,3
2026/03/24,正丁醇,东北地区,东北,8600,8600,8600,300,3.61%,元/吨,,n-Butanol_Domestic,3
2026/03/23,正丁醇,东北地区,东北,8300,8300,8300,700,9.21%,元/吨,,n-Butanol_Domestic,3
2026/03/20,正丁醇,东北地区,东北,7600,7600,7600,0,0%,元/吨,预估,n-Butanol_Domestic,3
2026/03/19,正丁醇,东北地区,东北,7600,7600,7600,-100,-1.3%,元/吨,,n-Butanol_Domestic,3
2026/03/18,正丁醇,东北地区,东北,7700,7700,7700,0,0%,元/吨,预估,n-Butanol_Domestic,3
2026/03/17,正丁醇,东北地区,东北,7700,7700,7700,-100,-1.28%,元/吨,,n-Butanol_Domestic,3
2026/03/16,正丁醇,东北地区,东北,7800,7800,7800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/03/13,正丁醇,东北地区,东北,7800,7800,7800,-100,-1.27%,元/吨,,n-Butanol_Domestic,3
2026/03/12,正丁醇,东北地区,东北,7900,7900,7900,-700,-8.14%,元/吨,,n-Butanol_Domestic,3
2026/03/11,正丁醇,东北地区,东北,8600,8600,8600,0,0%,元/吨,,n-Butanol_Domestic,3
2026/03/10,正丁醇,东北地区,东北,8600,8600,8600,100,1.18%,元/吨,,n-Butanol_Domestic,3
2026/03/09,正丁醇,东北地区,东北,8500,8500,8500,1550,22.3%,元/吨,,n-Butanol_Domestic,3
2026/03/06,正丁醇,东北地区,东北,6950,6950,6950,250,3.73%,元/吨,,n-Butanol_Domestic,3
2026/03/05,正丁醇,东北地区,东北,6700,6700,6700,200,3.08%,元/吨,,n-Butanol_Domestic,3
2026/03/04,正丁醇,东北地区,东北,6500,6500,6500,200,3.17%,元/吨,,n-Butanol_Domestic,3
2026/03/03,正丁醇,东北地区,东北,6300,6300,6300,200,3.28%,元/吨,,n-Butanol_Domestic,3
2026/03/02,正丁醇,东北地区,东北,6100,6100,6100,100,1.67%,元/吨,,n-Butanol_Domestic,3
2026/02/28,正丁醇,东北地区,东北,6000,6000,6000,-100,-1.64%,元/吨,,n-Butanol_Domestic,3
2026/02/27,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2026/02/26,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2026/02/25,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2026/02/24,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2026/02/14,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2026/02/13,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2026/02/12,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,预估,n-Butanol_Domestic,3
2026/02/11,正丁醇,东北地区,东北,6100,6100,6100,-100,-1.61%,元/吨,,n-Butanol_Domestic,3
2026/02/10,正丁醇,东北地区,东北,6200,6200,6200,0,0%,元/吨,,n-Butanol_Domestic,3
2026/02/09,正丁醇,东北地区,东北,6200,6200,6200,-300,-4.62%,元/吨,预估,n-Butanol_Domestic,3
2026/02/06,正丁醇,东北地区,东北,6500,6500,6500,0,0%,元/吨,,n-Butanol_Domestic,3
2026/02/05,正丁醇,东北地区,东北,6500,6500,6500,-50,-0.76%,元/吨,,n-Butanol_Domestic,3
2026/02/04,正丁醇,东北地区,东北,6550,6550,6550,-50,-0.76%,元/吨,,n-Butanol_Domestic,3
2026/02/03,正丁醇,东北地区,东北,6600,6600,6600,-50,-0.75%,元/吨,,n-Butanol_Domestic,3
2026/02/02,正丁醇,东北地区,东北,6650,6650,6650,0,0%,元/吨,,n-Butanol_Domestic,3
2026/01/30,正丁醇,东北地区,东北,6650,6650,6650,0,0%,元/吨,预估,n-Butanol_Domestic,3
2026/01/29,正丁醇,东北地区,东北,6650,6650,6650,100,1.53%,元/吨,,n-Butanol_Domestic,3
2026/01/28,正丁醇,东北地区,东北,6550,6550,6550,150,2.34%,元/吨,,n-Butanol_Domestic,3
2026/01/27,正丁醇,东北地区,东北,6400,6400,6400,100,1.59%,元/吨,,n-Butanol_Domestic,3
2026/01/26,正丁醇,东北地区,东北,6300,6300,6300,50,0.8%,元/吨,,n-Butanol_Domestic,3
2026/01/23,正丁醇,东北地区,东北,6250,6250,6250,150,2.46%,元/吨,,n-Butanol_Domestic,3
2026/01/22,正丁醇,东北地区,东北,6100,6100,6100,50,0.83%,元/吨,,n-Butanol_Domestic,3
2026/01/21,正丁醇,东北地区,东北,6050,6050,6050,0,0%,元/吨,,n-Butanol_Domestic,3
2026/01/20,正丁醇,东北地区,东北,6050,6050,6050,50,0.83%,元/吨,,n-Butanol_Domestic,3
2026/01/19,正丁醇,东北地区,东北,6000,6000,6000,0,0%,元/吨,,n-Butanol_Domestic,3
2026/01/16,正丁醇,东北地区,东北,6000,6000,6000,100,1.69%,元/吨,,n-Butanol_Domestic,3
2026/01/15,正丁醇,东北地区,东北,5900,5900,5900,100,1.72%,元/吨,,n-Butanol_Domestic,3
2026/01/14,正丁醇,东北地区,东北,5800,5800,5800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/01/13,正丁醇,东北地区,东北,5800,5800,5800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/01/12,正丁醇,东北地区,东北,5800,5800,5800,100,1.75%,元/吨,,n-Butanol_Domestic,3
2026/01/09,正丁醇,东北地区,东北,5700,5700,5700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/01/08,正丁醇,东北地区,东北,5700,5700,5700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/01/07,正丁醇,东北地区,东北,5700,5700,5700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/01/06,正丁醇,东北地区,东北,5700,5700,5700,100,1.79%,元/吨,,n-Butanol_Domestic,3
2026/01/05,正丁醇,东北地区,东北,5600,5600,5600,50,0.9%,元/吨,,n-Butanol_Domestic,3
2026/01/04,正丁醇,东北地区,东北,5550,5550,5550,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/31,正丁醇,东北地区,东北,5550,5550,5550,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/30,正丁醇,东北地区,东北,5550,5550,5550,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/29,正丁醇,东北地区,东北,5550,5550,5550,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/26,正丁醇,东北地区,东北,5550,5550,5550,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/25,正丁醇,东北地区,东北,5550,5550,5550,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/24,正丁醇,东北地区,东北,5550,5550,5550,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/23,正丁醇,东北地区,东北,5550,5550,5550,50,0.91%,元/吨,,n-Butanol_Domestic,3
2025/12/22,正丁醇,东北地区,东北,5500,5500,5500,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/19,正丁醇,东北地区,东北,5500,5500,5500,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/18,正丁醇,东北地区,东北,5500,5500,5500,-50,-0.9%,元/吨,,n-Butanol_Domestic,3
2025/12/17,正丁醇,东北地区,东北,5550,5550,5550,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/16,正丁醇,东北地区,东北,5550,5550,5550,-200,-3.48%,元/吨,,n-Butanol_Domestic,3
2025/12/15,正丁醇,东北地区,东北,5750,5750,5750,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/12,正丁醇,东北地区,东北,5750,5750,5750,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/11,正丁醇,东北地区,东北,5750,5750,5750,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/10,正丁醇,东北地区,东北,5750,5750,5750,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/09,正丁醇,东北地区,东北,5750,5750,5750,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/08,正丁醇,东北地区,东北,5750,5750,5750,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/05,正丁醇,东北地区,东北,5750,5750,5750,350,6.48%,元/吨,,n-Butanol_Domestic,3
2025/12/04,正丁醇,东北地区,东北,5400,5400,5400,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/03,正丁醇,东北地区,东北,5400,5400,5400,400,8%,元/吨,,n-Butanol_Domestic,3
2025/12/02,正丁醇,东北地区,东北,5000,5000,5000,0,0%,元/吨,,n-Butanol_Domestic,3
2025/12/01,正丁醇,东北地区,东北,5000,5000,5000,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/28,正丁醇,东北地区,东北,5000,5000,5000,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/27,正丁醇,东北地区,东北,5000,5000,5000,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/26,正丁醇,东北地区,东北,5000,5000,5000,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/25,正丁醇,东北地区,东北,5000,5000,5000,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/24,正丁醇,东北地区,东北,5000,5000,5000,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/21,正丁醇,东北地区,东北,5000,5000,5000,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/20,正丁醇,东北地区,东北,5000,5000,5000,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/19,正丁醇,东北地区,东北,5000,5000,5000,-150,-2.91%,元/吨,,n-Butanol_Domestic,3
2025/11/18,正丁醇,东北地区,东北,5150,5150,5150,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/17,正丁醇,东北地区,东北,5150,5150,5150,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/14,正丁醇,东北地区,东北,5150,5150,5150,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/13,正丁醇,东北地区,东北,5150,5150,5150,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/12,正丁醇,东北地区,东北,5150,5150,5150,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/11,正丁醇,东北地区,东北,5150,5150,5150,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/10,正丁醇,东北地区,东北,5150,5150,5150,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/07,正丁醇,东北地区,东北,5150,5150,5150,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/06,正丁醇,东北地区,东北,5150,5150,5150,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/05,正丁醇,东北地区,东北,5150,5150,5150,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/04,正丁醇,东北地区,东北,5150,5150,5150,0,0%,元/吨,,n-Butanol_Domestic,3
2025/11/03,正丁醇,东北地区,东北,5150,5150,5150,0,0%,元/吨,,n-Butanol_Domestic,3
2025/10/31,正丁醇,东北地区,东北,5150,5150,5150,0,0%,元/吨,,n-Butanol_Domestic,3
2025/10/30,正丁醇,东北地区,东北,5150,5150,5150,-150,-2.83%,元/吨,,n-Butanol_Domestic,3
2025/10/29,正丁醇,东北地区,东北,5300,5300,5300,0,0%,元/吨,,n-Butanol_Domestic,3
2025/10/28,正丁醇,东北地区,东北,5300,5300,5300,0,0%,元/吨,,n-Butanol_Domestic,3
2025/10/27,正丁醇,东北地区,东北,5300,5300,5300,0,0%,元/吨,,n-Butanol_Domestic,3
2025/10/24,正丁醇,东北地区,东北,5300,5300,5300,0,0%,元/吨,,n-Butanol_Domestic,3
2025/10/23,正丁醇,东北地区,东北,5300,5300,5300,-500,-8.62%,元/吨,,n-Butanol_Domestic,3
2025/10/22,正丁醇,东北地区,东北,5800,5800,5800,0,0%,元/吨,,n-Butanol_Domestic,3
2025/10/21,正丁醇,东北地区,东北,5800,5800,5800,0,0%,元/吨,,n-Butanol_Domestic,3
2025/10/20,正丁醇,东北地区,东北,5800,5800,5800,0,0%,元/吨,,n-Butanol_Domestic,3
2025/10/17,正丁醇,东北地区,东北,5800,5800,5800,0,0%,元/吨,,n-Butanol_Domestic,3
2025/10/16,正丁醇,东北地区,东北,5800,5800,5800,0,0%,元/吨,,n-Butanol_Domestic,3
2025/10/15,正丁醇,东北地区,东北,5800,5800,5800,0,0%,元/吨,,n-Butanol_Domestic,3
2025/10/14,正丁醇,东北地区,东北,5800,5800,5800,0,0%,元/吨,,n-Butanol_Domestic,3
2025/10/13,正丁醇,东北地区,东北,5800,5800,5800,0,0%,元/吨,,n-Butanol_Domestic,3
2025/10/11,正丁醇,东北地区,东北,5800,5800,5800,-300,-4.92%,元/吨,,n-Butanol_Domestic,3
2025/10/10,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/10/09,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/30,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/29,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/28,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/26,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/25,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/24,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/23,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/22,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/19,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/18,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/17,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/16,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/15,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/12,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/11,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/10,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/09,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/08,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/05,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/04,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/03,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/02,正丁醇,东北地区,东北,6100,6100,6100,0,0%,元/吨,,n-Butanol_Domestic,3
2025/09/01,正丁醇,东北地区,东北,6100,6100,6100,250,4.27%,元/吨,,n-Butanol_Domestic,3
2025/08/29,正丁醇,东北地区,东北,5850,5850,5850,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/28,正丁醇,东北地区,东北,5850,5850,5850,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/27,正丁醇,东北地区,东北,5850,5850,5850,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/26,正丁醇,东北地区,东北,5850,5850,5850,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/25,正丁醇,东北地区,东北,5850,5850,5850,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/22,正丁醇,东北地区,东北,5850,5850,5850,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/21,正丁醇,东北地区,东北,5850,5850,5850,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/20,正丁醇,东北地区,东北,5850,5850,5850,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/19,正丁醇,东北地区,东北,5850,5850,5850,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/18,正丁醇,东北地区,东北,5850,5850,5850,-100,-1.68%,元/吨,,n-Butanol_Domestic,3
2025/08/15,正丁醇,东北地区,东北,5950,5950,5950,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/14,正丁醇,东北地区,东北,5950,5950,5950,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/13,正丁醇,东北地区,东北,5950,5950,5950,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/12,正丁醇,东北地区,东北,5950,5950,5950,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/11,正丁醇,东北地区,东北,5950,5950,5950,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/08,正丁醇,东北地区,东北,5950,5950,5950,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/07,正丁醇,东北地区,东北,5950,5950,5950,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/06,正丁醇,东北地区,东北,5950,5950,5950,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/05,正丁醇,东北地区,东北,5950,5950,5950,-300,-4.8%,元/吨,,n-Butanol_Domestic,3
2025/08/04,正丁醇,东北地区,东北,6250,6250,6250,0,0%,元/吨,,n-Butanol_Domestic,3
2025/08/01,正丁醇,东北地区,东北,6250,6250,6250,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/31,正丁醇,东北地区,东北,6250,6250,6250,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/30,正丁醇,东北地区,东北,6250,6250,6250,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/29,正丁醇,东北地区,东北,6250,6250,6250,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/28,正丁醇,东北地区,东北,6250,6250,6250,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/25,正丁醇,东北地区,东北,6250,6250,6250,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/24,正丁醇,东北地区,东北,6250,6250,6250,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/23,正丁醇,东北地区,东北,6250,6250,6250,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/22,正丁醇,东北地区,东北,6250,6250,6250,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/21,正丁醇,东北地区,东北,6250,6250,6250,-100,-1.57%,元/吨,,n-Butanol_Domestic,3
2025/07/18,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/17,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/16,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/15,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/14,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/11,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/10,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/09,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/08,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/07,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/04,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/03,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/02,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/07/01,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/06/30,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/06/27,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
2025/06/26,正丁醇,东北地区,东北,6350,6350,6350,0,0%,元/吨,,n-Butanol_Domestic,3
